Warning: personality file not found at SOUL.md
2026-04-23 11:57:28 hestia.app WARNING SOUL.md not found at SOUL.md
2026-04-23 11:57:28 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getMe "HTTP/1.1 200 OK"
2026-04-23 11:57:28 telegram.ext.Application INFO Application started
2026-04-23 11:57:29 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/deleteWebhook "HTTP/1.1 200 OK"
2026-04-23 11:57:29 hestia.platforms.telegram_adapter INFO Telegram adapter started, polling for updates
Telegram bot started. Press Ctrl-C to stop.
2026-04-23 11:57:29 hestia.scheduler.engine INFO Scheduler loop started (tick=5.0s)
2026-04-23 11:57:59 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 11:58:30 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 11:59:01 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 11:59:32 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:00:03 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:00:34 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:01:05 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:01:37 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:02:08 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:02:39 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:03:10 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:03:41 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:04:12 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:04:43 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:05:14 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:05:45 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:06:17 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:06:48 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:07:19 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:07:50 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:08:21 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:08:52 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:09:23 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:09:54 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:10:25 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:10:56 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:11:28 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:11:59 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:12:30 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:13:01 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:13:32 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:14:03 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:14:34 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:15:05 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:15:36 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:16:08 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
2026-04-23 12:16:39 httpx INFO HTTP Request: POST https://api.telegram.org/bot8773016349:AAG4YWz2PKEib7OH4ypTUaLJRG5rQsNAVC0/getUpdates "HTTP/1.1 200 OK"
